As Loterias - www.asloterias.com.br - Todos Resultados da TimeMania;;;;;;;;;
Este arquivo foi baixado no site www.asloterias.com.br no dia 19/03/2019;;;;;;;;;
Visite o site para baixar a versão mais atualizada deste arquivo!;;;;;;;;;
;;;;;;;;;
TODOS RESULTADOS DA TIMEMANIA POR ORDEM DE SORTEIO;;;;;;;;;
;;;;;;;;;
Concurso;Data;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;Time do Coração
1197;26/06/2018;9;19;34;29;26;33;58;ATLÉTICO/GO
1196;23/06/2018;70;26;54;53;47;24;19;AMÉRICA/MG
1195;21/06/2018;6;75;9;61;38;56;13;AMERICANO/RJ
1194;19/06/2018;5;28;23;80;60;72;52;CRB/AL
1193;16/06/2018;27;52;66;57;23;54;71;VASCO DA GAMA/RJ
1192;14/06/2018;38;74;31;61;51;32;52;BRASILIENSE/DF
1191;12/06/2018;15;63;69;40;74;14;59;VILLA NOVA/MG
1190;09/06/2018;24;28;25;40;69;49;72;NACIONAL/AM
1189;07/06/2018;35;26;37;69;60;19;51;BRAGANTINO/SP
1188;05/06/2018;25;76;67;41;61;53;78;SÃO CAETANO/SP
1187;02/06/2018;41;5;50;66;52;71;39;OPERARIO/MS
1186;29/05/2018;80;71;77;52;10;79;64;INTERNACIONAL/RS
1185;26/05/2018;51;30;52;58;66;13;21;BARUERI/SP
1184;24/05/2018;72;51;13;65;31;2;28;AMERICANO/RJ
1183;22/05/2018;70;77;17;55;53;10;4;REMO/PA
1182;19/05/2018;21;8;78;19;46;17;76;MIXTO/MT
1181;17/05/2018;44;72;37;48;80;34;8;NÁUTICO/PE
1180;15/05/2018;29;79;45;58;1;73;68;SAMPAIO CORRÊA/MA
1179;12/05/2018;33;57;5;21;60;32;79;CORITIBA/PR
1178;10/05/2018;43;37;38;69;35;15;66;ABC/RN
1177;08/05/2018;14;65;74;30;33;54;7;FLAMENGO/RJ
1176;05/05/2018;61;66;67;12;63;76;71;PALMAS/TO
1175;03/05/2018;50;40;71;11;6;78;38;AMÉRICA/RJ
1174;28/04/2018;58;69;61;27;12;3;21;RIO BRANCO/AC
1173;26/04/2018;75;8;62;2;5;3;4;AMÉRICA/MG
1172;24/04/2018;15;21;3;79;69;16;7;UNIÃO BARBARENSE/SP
1171;19/04/2018;22;27;12;9;58;43;26;SANTO ANDRÉ/SP
1170;17/04/2018;44;35;48;38;77;51;11;VILLA NOVA/MG
1169;14/04/2018;26;72;67;5;8;36;4;CRUZEIRO/MG
1168;12/04/2018;75;74;67;72;68;54;19;AMÉRICA/MG
1167;10/04/2018;67;37;60;21;9;71;76;RORAIMA/RR
1166;07/04/2018;51;23;35;74;39;50;52;RIO BRANCO/ES
1165;05/04/2018;68;56;22;12;41;27;65;SANTO ANDRE/SP
1164;03/04/2018;25;45;30;62;77;10;74;CRUZEIRO/MG
1163;31/03/2018;72;36;33;43;38;37;6;AMERICANO/RJ
1162;29/03/2018;61;57;20;24;40;19;48;SÃO CAETANO/SP
1161;27/03/2018;1;71;41;50;49;33;55;TREZE/PB
1160;24/03/2018;3;60;66;41;40;72;51;BRAGANTINO/SP
1159;22/03/2018;18;48;67;13;68;37;47;CRB/AL
1158;20/03/2018;50;21;44;58;9;31;22;BARUERI/SP
1157;17/03/2018;46;9;20;18;44;55;35;RIO BRANCO/AC
1156;15/03/2018;15;52;17;76;72;66;68;SPORT/PE
1155;13/03/2018;39;14;25;42;50;61;8;TREZE/PB
1154;10/03/2018;65;56;27;28;73;54;80;RIVER/PI
1153;08/03/2018;80;57;74;48;8;52;21;PALMAS/TO
1152;06/03/2018;16;77;55;33;71;12;52;NÁUTICO/PE
1151;03/03/2018;12;70;10;14;44;29;41;GUARANI/SP
1150;01/03/2018;3;65;21;33;37;19;64;NACIONAL/AM
1149;27/02/2018;24;3;29;47;49;1;15;FLUMINENSE/RJ
1148;24/02/2018;56;68;44;53;10;9;70;XV PIRACICABA/SP
1147;22/02/2018;48;55;8;40;39;26;68;REMO/PA
1146;20/02/2018;63;12;48;6;4;39;26;XV PIRACICABA/SP
1145;17/02/2018;20;24;51;49;47;12;64;SERGIPE/SE
1144;15/02/2018;72;23;19;34;58;48;9;PARANÁ/PR
1143;10/02/2018;66;6;14;56;11;36;68;BOTAFOGO/PB
1142;08/02/2018;70;37;38;69;78;10;30;RORAIMA/RR
1141;06/02/2018;22;27;60;3;74;30;53;INTER LIMEIRA/SP
1140;03/02/2018;23;45;57;68;36;73;19;NACIONAL/AM
1139;01/02/2018;69;54;2;19;72;56;42;PALMAS/TO
1138;30/01/2018;41;21;1;16;39;6;23;MOTO CLUBE/MA
1137;27/01/2018;15;22;52;47;72;24;79;BRAGANTINO/SP
1136;25/01/2018;51;50;4;39;21;16;11;PAULISTA/SP
1135;23/01/2018;45;31;4;61;36;56;28;A B C/RN
1134;20/01/2018;20;48;23;73;74;6;30;VITÓRIA/BA
1133;18/01/2018;28;47;37;29;72;11;3;AMÉRICA/RN
1132;16/01/2018;51;17;75;5;57;52;11;CRB/AL
1131;13/01/2018;49;30;53;7;37;50;20;FORTALEZA/CE
1130;11/01/2018;55;26;6;27;4;36;44;CRICIÚMA/SC
1129;09/01/2018;80;31;73;8;21;29;39;SAMPAIO CORRÊA/MA
1128;06/01/2018;20;27;24;53;80;76;75;BOTAFOGO/RJ
1127;04/01/2018;34;80;5;8;45;29;1;INTER LIMEIRA/SP
